Who won on 05-04-2017 ,Sunrisers Hyderabad
Man of the match on 07-04-2017,CA Lynn
Match results of Gujarat Lions and Mumbai Indians,Mumbai Indians
toss winner of the match on 15-04-2017,Sunrisers Hyderabad
Match results of Kings XI Punjab and Kolkata Knight Riders,Kolkata Knight Riders
Who won toss on 16-04-2017,Royal Challengers Bangalore
Match Location of RCB Vs MI on 14-04-2017,Bangalore
Where did Delhi Daredevils fought KKR on 17-04-2014,Delhi
When did King X1 Punjab played out of punjab and where,17-04-2017 in hyderabad
When mumbai indian won toss on 09-04-2017 what did they pick,field
when did dhoni became man of the match ?,he became man of the match on 04-05-2017 and 23-05-2017
who was  the first umpire on 10-04-2017,AK Chaudhary
with how many runs did Delhi Deardevils won on 15-04-2017,51 runs
in which match yuraj became man of the match ,0n 05-04-2017
venue for match on 12-04-2017,Wankhede Stadium
